htv_demand_order_dm.deviceid	htv_demand_order_dm.film_not_order	htv_demand_order_dm.tv_not_order	htv_demand_order_dm.child_not_order	htv_demand_order_dm.date_time
004903000003204019297C52593C36AE	1	0	0	20210901
004903FF001847800001748F1B108D54	0	0	1	20210901
005101FF00011810111160D21CA9B1E5	1	1	0	20210901
005801FF0001005005D300692D37D294	0	1	0	20210901
005801FF0001005005D300692D37D2AA	0	1	0	20210901
005801FF0001005005D300692D37D36E	0	1	0	20210901
005801FF0001005005D300692D37D39F	1	0	0	20210901
005801FF0001005005D300692D37D3B0	0	1	0	20210901
005801FF0001005005D300692D37D3D5	0	1	0	20210901
005801FF0001005005D300692D37D4BE	0	1	0	20210901
005801FF0001005005D300692D37D52C	0	1	0	20210901
005801FF0001005005D300692D37D5E3	0	1	0	20210901
005801FF0001005005D300692D37D629	0	1	0	20210901
005801FF0001005005D300692D37D67D	1	0	0	20210901
005801FF0001005005D300692D37D6F3	0	1	0	20210901
005801FF0001005005D300692D37D79E	1	0	0	20210901
005801FF0001005005D300692D37D7D5	1	0	0	20210901
005801FF0001005005D300692D37D7D6	1	1	0	20210901
005801FF0001005005D300692D37D915	1	0	0	20210901
005801FF0001005005D300692D37D96B	1	0	0	20210901
005801FF0001005005D300692D37DA0C	1	0	0	20210901
005801FF0001005005D300692D37DA6D	0	1	0	20210901
005801FF0001005005D300692D37DAAB	0	1	0	20210901
005801FF0001005005D300692D37DB62	1	0	0	20210901
005801FF0001005005D300692D37DBE8	0	1	0	20210901
005801FF0001005005D300692D37DC0B	0	1	0	20210901
005801FF0001005005D300692D37DC95	1	1	0	20210901
005801FF0001005005D300692D37DCA8	0	1	0	20210901
005801FF0001005005D300692D37DCBE	0	1	0	20210901
005801FF0001005005D300692D37DD1B	1	0	0	20210901
005801FF0001005005D300692D37DD4E	0	1	0	20210901
005801FF0001005005D300692D37DD59	0	1	0	20210901
005801FF0001005005D300692D37DDA6	0	1	0	20210901
005801FF0001005005D300692D37DDDB	0	1	0	20210901
005801FF0001005005D300692D37DE54	0	1	0	20210901
005801FF0001005005D300692D37DE9C	1	0	0	20210901
005801FF0001005005D300692D37DEAC	0	1	0	20210901
005801FF0001005005D300692D37DF32	1	1	0	20210901
005801FF0001005005D300692D37DFCF	0	1	0	20210901
005801FF0001005005D300692D37E0AB	1	0	0	20210901
005801FF0001005005D300692D37E129	0	1	0	20210901
005801FF0001005005D300692D37E152	0	1	0	20210901
005801FF0001005005D300692D37E1E2	0	1	0	20210901
005801FF0001005005D300692D37E2A3	1	0	0	20210901
005801FF0001005005D300692D37E2F9	0	1	0	20210901
005801FF0001005005D300692D37E340	0	1	0	20210901
005801FF0001005005D300692D37E355	0	1	0	20210901
005801FF0001005005D300692D37E3D0	0	1	0	20210901
005801FF0001005005D300692D37E401	0	1	0	20210901
005801FF0001005005D300692D37E434	1	0	0	20210901
005801FF0001005005D300692D37E478	1	0	0	20210901
005801FF0001005005D300692D37E523	0	1	0	20210901
005801FF0001005005D300692D37E560	0	1	0	20210901
005801FF0001005005D300692D37E56D	0	1	0	20210901
005801FF0001005005D300692D37E5B7	0	1	0	20210901
005801FF0001005005D300692D37E5F4	0	1	0	20210901
005801FF0001005005D300692D37E5F8	0	1	0	20210901
005801FF0001005005D300692D37E68D	0	1	0	20210901
005801FF0001005005D300692D37E6DE	1	0	0	20210901
005801FF0001005005D300692D37E739	0	1	0	20210901
005801FF0001005005D300692D37E750	0	1	0	20210901
005801FF0001005005D300692D37E774	1	0	0	20210901
005801FF0001005005D300692D37E7EF	0	1	0	20210901
005801FF0001005005D300692D37E82F	1	0	1	20210901
005801FF0001005005D300692D37E84A	0	1	0	20210901
005801FF0001005005D300692D37E892	0	1	0	20210901
005801FF0001005005D300692D37E89D	1	0	0	20210901
005801FF0001005005D300692D37E972	0	1	0	20210901
005801FF0001005005D300692D37EABC	1	0	0	20210901
005801FF0001005005D300692D37EB96	0	1	0	20210901
005801FF0001005005D300692D37EC3C	0	1	0	20210901
005801FF0001005005D300692D37ECD4	0	0	1	20210901
005801FF0001005005D300692D37ECE1	0	1	0	20210901
005801FF0001005005D300692D37ED04	1	0	0	20210901
005801FF0001005005D300692D37ED43	1	0	0	20210901
005801FF0001005005D300692D37EDE7	0	1	0	20210901
005801FF0001005005D300692D37EDEA	1	0	0	20210901
005801FF0001005005D300692D37EE09	1	0	0	20210901
005801FF0001005005D300692D37EEAF	0	1	0	20210901
005801FF0001005005D300692D37EEF3	1	0	0	20210901
005801FF0001005005D300692D37EF17	0	1	0	20210901
005801FF0001005005D300692D37EF2E	0	1	0	20210901
005801FF0001005005D300692D37EF2F	0	1	0	20210901
005801FF0001005005D300692D37F064	1	0	0	20210901
005801FF0001005005D300692D37F09E	0	1	0	20210901
005801FF0001005005D300692D37F0B8	0	1	0	20210901
005801FF0001005005D300692D37F0F7	0	1	0	20210901
005801FF0001005005D300692D37F10F	0	1	0	20210901
005801FF0001005005D300692D37F14D	0	1	0	20210901
005801FF0001005005D300692D37F14F	0	1	0	20210901
005801FF0001005005D300692D37F28F	0	1	0	20210901
005801FF0001005005D300692D37F296	0	1	0	20210901
005801FF0001005005D300692D37F29C	0	1	0	20210901
005801FF0001005005D300692D37F2D9	0	1	0	20210901
005801FF0001005005D300692D37F346	0	1	0	20210901
005801FF0001005005D300692D37F3D0	1	1	0	20210901
005801FF0001005005D300692D37F3D1	0	1	0	20210901
